,rh1,rh2,ang,energia
135,1.408,2.308,94.5,-75.902935
136,1.408,2.408,94.5,-75.88918000000001
137,1.408,2.508,94.5,-75.87508100000001
138,1.408,2.608,94.5,-75.860902
139,1.408,2.708,94.5,-75.846834
140,1.508,0.808,94.5,-74.59002
141,1.508,0.908,94.5,-75.065391
142,1.508,1.008,94.5,-75.386371
143,1.508,1.108,94.5,-75.60356800000001
144,1.508,1.208,94.5,-75.749969
145,1.508,1.308,94.5,-75.847539
146,1.508,1.408,94.5,-75.911129
147,1.508,1.508,94.5,-75.95090400000001
148,1.508,1.608,94.5,-75.973897
149,1.508,1.708,94.5,-75.985037
150,1.508,1.808,94.5,-75.987813
151,1.508,1.908,94.5,-75.984717
152,1.508,2.008,94.5,-75.977537
153,1.508,2.108,94.5,-75.967563
154,1.508,2.208,94.5,-75.955726
155,1.508,2.308,94.5,-75.94270300000001
156,1.508,2.408,94.5,-75.928986
157,1.508,2.508,94.5,-75.914934
158,1.508,2.608,94.5,-75.900809
159,1.508,2.708,94.5,-75.886799
160,1.608,0.808,94.5,-74.612038
161,1.608,0.908,94.5,-75.087823
162,1.608,1.008,94.5,-75.40907800000001
163,1.608,1.108,94.5,-75.626442
164,1.608,1.208,94.5,-75.772933
165,1.608,1.308,94.5,-75.87054
166,1.608,1.408,94.5,-75.934136
167,1.608,1.508,94.5,-75.973897
168,1.608,1.608,94.5,-75.99686700000001
169,1.608,1.708,94.5,-76.007981
170,1.608,1.808,94.5,-76.01073199999999
171,1.608,1.908,94.5,-76.007616
172,1.608,2.008,94.5,-76.000423
173,1.608,2.108,94.5,-75.990445
174,1.608,2.208,94.5,-75.978616
175,1.608,2.308,94.5,-75.96561
176,1.608,2.408,94.5,-75.951921
177,1.608,2.508,94.5,-75.937905
178,1.608,2.608,94.5,-75.923824
179,1.608,2.708,94.5,-75.909862
180,1.708,0.808,94.5,-74.622314
181,1.708,0.908,94.5,-75.098465
182,1.708,1.008,94.5,-75.419967
183,1.708,1.108,94.5,-75.63748199999999
184,1.708,1.208,94.5,-75.784054
185,1.708,1.308,94.5,-75.881695
186,1.708,1.408,94.5,-75.945293
187,1.708,1.508,94.5,-75.985037
188,1.708,1.608,94.5,-76.007981
189,1.708,1.708,94.5,-76.019065
190,1.708,1.808,94.5,-76.021787
191,1.708,1.908,94.5,-76.01864499999999
192,1.708,2.008,94.5,-76.011434
193,1.708,2.108,94.5,-76.001447
194,1.708,2.208,94.5,-75.98961899999999
195,1.708,2.308,94.5,-75.976624
196,1.708,2.408,94.5,-75.96295500000001
197,1.708,2.508,94.5,-75.94896800000001
198,1.708,2.608,94.5,-75.934921
199,1.708,2.708,94.5,-75.920999
200,1.808,0.808,94.5,-74.62430400000001
201,1.808,0.908,94.5,-75.10078100000001
202,1.808,1.008,94.5,-75.422506
203,1.808,1.108,94.5,-75.64016
204,1.808,1.208,94.5,-75.78680899999999
205,1.808,1.308,94.5,-75.88448299999999
206,1.808,1.408,94.5,-75.948084
207,1.808,1.508,94.5,-75.987813
208,1.808,1.608,94.5,-76.01073199999999
209,1.808,1.708,94.5,-76.021787
210,1.808,1.808,94.5,-76.024479
211,1.808,1.908,94.5,-76.021312
212,1.808,2.008,94.5,-76.014082
213,1.808,2.108,94.5,-76.004083
214,1.808,2.208,94.5,-75.99225200000001
215,1.808,2.308,94.5,-75.979264
216,1.808,2.408,94.5,-75.965609
217,1.808,2.508,94.5,-75.951645
218,1.808,2.608,94.5,-75.937626
219,1.808,2.708,94.5,-75.923737
220,1.908,0.808,94.5,-74.620475
221,1.908,0.908,94.5,-75.097243
222,1.908,1.008,94.5,-75.41917099999999
223,1.908,1.108,94.5,-75.63695600000001
224,1.908,1.208,94.5,-75.783681
225,1.908,1.308,94.5,-75.881389
226,1.908,1.408,94.5,-75.944998
227,1.908,1.508,94.5,-75.984717
228,1.908,1.608,94.5,-76.007616
229,1.908,1.708,94.5,-76.01864499999999
230,1.908,1.808,94.5,-76.021312
231,1.908,1.908,94.5,-76.01812199999999
232,1.908,2.008,94.5,-76.010874
233,1.908,2.108,94.5,-76.000864
234,1.908,2.208,94.5,-75.989029
235,1.908,2.308,94.5,-75.97604399999999
236,1.908,2.408,94.5,-75.962401
237,1.908,2.508,94.5,-75.948454
238,1.908,2.608,94.5,-75.93445799999999
239,1.908,2.708,94.5,-75.920594
240,2.008,0.808,94.5,-74.612593
241,2.008,0.908,94.5,-75.08962199999999
242,2.008,1.008,94.5,-75.411738
243,2.008,1.108,94.5,-75.629649
244,2.008,1.208,94.5,-75.77645
245,2.008,1.308,94.5,-75.87419799999999
246,2.008,1.408,94.5,-75.937821
247,2.008,1.508,94.5,-75.977537
248,2.008,1.608,94.5,-76.000423
249,2.008,1.708,94.5,-76.011434
250,2.008,1.808,94.5,-76.014082
251,2.008,1.908,94.5,-76.010874
252,2.008,2.008,94.5,-76.00361099999999
253,2.008,2.108,94.5,-75.993592
254,2.008,2.208,94.5,-75.98175400000001
255,2.008,2.308,94.5,-75.968772
256,2.008,2.408,94.5,-75.955137
257,2.008,2.508,94.5,-75.941203
258,2.008,2.608,94.5,-75.927224
259,2.008,2.708,94.5,-75.91338
260,2.108,0.808,94.5,-74.60193000000001
261,2.108,0.908,94.5,-75.079195
262,2.108,1.008,94.5,-75.401485
263,2.108,1.108,94.5,-75.619519
264,2.108,1.208,94.5,-75.76639899999999
265,2.108,1.308,94.5,-75.864194
266,2.108,1.408,94.5,-75.92784
267,2.108,1.508,94.5,-75.967563
268,2.108,1.608,94.5,-75.990445
269,2.108,1.708,94.5,-76.001447
270,2.108,1.808,94.5,-76.004083
271,2.108,1.908,94.5,-76.000864
272,2.108,2.008,94.5,-75.993592
273,2.108,2.108,94.5,-75.983568
274,2.108,2.208,94.5,-75.971727
275,2.108,2.308,94.5,-75.958748
276,2.108,2.408,94.5,-75.94511999999999
277,2.108,2.508,94.5,-75.931195
278,2.108,2.608,94.5,-75.91722800000001
279,2.108,2.708,94.5,-75.903398
280,2.208,0.808,94.5,-74.589405
281,2.208,0.908,94.5,-75.06688299999999
282,2.208,1.008,94.5,-75.389338
283,2.208,1.108,94.5,-75.607493
284,2.208,1.208,94.5,-75.754458
285,2.208,1.308,94.5,-75.852308
286,2.208,1.408,94.5,-75.915986
287,2.208,1.508,94.5,-75.955726
288,2.208,1.608,94.5,-75.978616
289,2.208,1.708,94.5,-75.98961899999999
290,2.208,1.808,94.5,-75.99225200000001
291,2.208,1.908,94.5,-75.989029
292,2.208,2.008,94.5,-75.98175400000001
293,2.208,2.108,94.5,-75.971727
294,2.208,2.208,94.5,-75.959888
295,2.208,2.308,94.5,-75.946911
296,2.208,2.408,94.5,-75.93328699999999
297,2.208,2.508,94.5,-75.91936899999999
298,2.208,2.608,94.5,-75.90541
299,2.208,2.708,94.5,-75.891589
300,2.308,0.808,94.5,-74.575689
301,2.308,0.908,94.5,-75.053361
302,2.308,1.008,94.5,-75.37597199999999
303,2.308,1.108,94.5,-75.594248
304,2.308,1.208,94.5,-75.741302
305,2.308,1.308,94.5,-75.839214
306,2.308,1.408,94.5,-75.902935
307,2.308,1.508,94.5,-75.94270300000001
308,2.308,1.608,94.5,-75.96561
309,2.308,1.708,94.5,-75.976624
310,2.308,1.808,94.5,-75.979264
311,2.308,1.908,94.5,-75.97604399999999
312,2.308,2.008,94.5,-75.968772
313,2.308,2.108,94.5,-75.958748
314,2.308,2.208,94.5,-75.946911
315,2.308,2.308,94.5,-75.933938
316,2.308,2.408,94.5,-75.920317
317,2.308,2.508,94.5,-75.906403
318,2.308,2.608,94.5,-75.892448
319,2.308,2.708,94.5,-75.878631
320,2.408,0.808,94.5,-74.561272
321,2.408,0.908,94.5,-75.039121
322,2.408,1.008,94.5,-75.36188100000001
323,2.408,1.108,94.5,-75.580277
324,2.408,1.208,94.5,-75.727424
325,2.408,1.308,94.5,-75.825407
326,2.408,1.408,94.5,-75.88918000000001
327,2.408,1.508,94.5,-75.928986
328,2.408,1.608,94.5,-75.951921
329,2.408,1.708,94.5,-75.96295500000001
330,2.408,1.808,94.5,-75.965609
331,2.408,1.908,94.5,-75.962401
332,2.408,2.008,94.5,-75.955137
333,2.408,2.108,94.5,-75.94511999999999
334,2.408,2.208,94.5,-75.93328699999999
335,2.408,2.308,94.5,-75.920317
336,2.408,2.408,94.5,-75.906699
337,2.408,2.508,94.5,-75.892786
338,2.408,2.608,94.5,-75.87883199999999
339,2.408,2.708,94.5,-75.865015
340,2.508,0.808,94.5,-74.546516
341,2.508,0.908,94.5,-75.024528
342,2.508,1.008,94.5,-75.347429
343,2.508,1.108,94.5,-75.565945
344,2.508,1.208,94.5,-75.713189
345,2.508,1.308,94.5,-75.81124799999999
346,2.508,1.408,94.5,-75.87508100000001
347,2.508,1.508,94.5,-75.914934
348,2.508,1.608,94.5,-75.937905
349,2.508,1.708,94.5,-75.94896800000001
350,2.508,1.808,94.5,-75.951645
351,2.508,1.908,94.5,-75.948454
352,2.508,2.008,94.5,-75.941203
353,2.508,2.108,94.5,-75.931195
354,2.508,2.208,94.5,-75.91936899999999
355,2.508,2.308,94.5,-75.906403
356,2.508,2.408,94.5,-75.892786
357,2.508,2.508,94.5,-75.878873
358,2.508,2.608,94.5,-75.86491600000001
359,2.508,2.708,94.5,-75.851097
360,2.608,0.808,94.5,-74.53169100000001
361,2.608,0.908,94.5,-75.00985
362,2.608,1.008,94.5,-75.332887
363,2.608,1.108,94.5,-75.551519
364,2.608,1.208,94.5,-75.698863
365,2.608,1.308,94.5,-75.797004
366,2.608,1.408,94.5,-75.860902
367,2.608,1.508,94.5,-75.900809
368,2.608,1.608,94.5,-75.923824
369,2.608,1.708,94.5,-75.934921
370,2.608,1.808,94.5,-75.937626
371,2.608,1.908,94.5,-75.93445799999999
372,2.608,2.008,94.5,-75.927224
373,2.608,2.108,94.5,-75.91722800000001
374,2.608,2.208,94.5,-75.90541
375,2.608,2.308,94.5,-75.892448
376,2.608,2.408,94.5,-75.87883199999999
377,2.608,2.508,94.5,-75.86491600000001
378,2.608,2.608,94.5,-75.339003
379,2.608,2.708,94.5,-75.837131
380,2.708,0.808,94.5,-74.516991
381,2.708,0.908,94.5,-74.995287
382,2.708,1.008,94.5,-75.31845
383,2.708,1.108,94.5,-75.537198
384,2.708,1.208,94.5,-75.68464
385,2.708,1.308,94.5,-75.782865
386,2.708,1.408,94.5,-75.846834
387,2.708,1.508,94.5,-75.886799
388,2.708,1.608,94.5,-75.909862
389,2.708,1.708,94.5,-75.920999
390,2.708,1.808,94.5,-75.923737
391,2.708,1.908,94.5,-75.920594
392,2.708,2.008,94.5,-75.91338
393,2.708,2.108,94.5,-75.903398
394,2.708,2.208,94.5,-75.891589
395,2.708,2.308,94.5,-75.878631
396,2.708,2.408,94.5,-75.865015
397,2.708,2.508,94.5,-75.851097
398,2.708,2.608,94.5,-75.837131
399,2.708,2.708,94.5,-75.35382800000001
400,0.808,0.808,95.5,-72.066162
401,0.808,0.908,95.5,-73.720952
402,0.808,1.008,95.5,-74.037239
403,0.808,1.108,95.5,-74.251075
404,0.808,1.208,95.5,-74.395041
405,0.808,1.308,95.5,-74.490765
406,0.808,1.408,95.5,-74.552871
407,0.808,1.508,95.5,-74.59139300000001
408,0.808,1.608,95.5,-74.613293
409,0.808,1.708,95.5,-74.623452
410,0.808,1.808,95.5,-74.625327
411,0.808,1.908,95.5,-74.621386
412,0.808,2.008,95.5,-74.613395
413,0.808,2.108,95.5,-74.602628
414,0.808,2.208,95.5,-74.59000400000001
415,0.808,2.308,95.5,-74.576195
416,0.808,2.408,95.5,-74.561693
417,0.808,2.508,95.5,-74.54686
418,0.808,2.608,95.5,-74.531965
419,0.808,2.708,95.5,-74.517205
420,0.908,0.808,95.5,-73.720952
421,0.908,0.908,95.5,-74.191551
422,0.908,1.008,95.5,-74.509129
423,0.908,1.108,95.5,-74.723972
424,0.908,1.208,95.5,-74.868727
425,0.908,1.308,95.5,-74.965094
426,0.908,1.408,95.5,-75.027744
427,0.908,1.508,95.5,-75.066739
428,0.908,1.608,95.5,-75.089054
429,0.908,1.708,95.5,-75.09958
430,0.908,1.808,95.5,-75.101783
431,0.908,1.908,95.5,-75.09813299999999
432,0.908,2.008,95.5,-75.09040300000001
433,0.908,2.108,95.5,-75.079871
434,0.908,2.208,95.5,-75.067461
435,0.908,2.308,95.5,-75.053846
436,0.908,2.408,95.5,-75.03952
437,0.908,2.508,95.5,-75.024849
438,0.908,2.608,95.5,-75.010103
439,0.908,2.708,95.5,-74.995478
440,1.008,0.808,95.5,-74.037239
441,1.008,0.908,95.5,-74.509129
442,1.008,1.008,95.5,-73.489266
443,1.008,1.108,95.5,-75.043253
444,1.008,1.208,95.5,-75.18855500000001
445,1.008,1.308,95.5,-75.28535500000001
446,1.008,1.408,95.5,-75.34836899999999
447,1.008,1.508,95.5,-75.38767800000001
448,1.008,1.608,95.5,-75.41027199999999
449,1.008,1.708,95.5,-75.421047
450,1.008,1.808,95.5,-75.423474
451,1.008,1.908,95.5,-75.42003000000001
452,1.008,2.008,95.5,-75.41249
453,1.008,2.108,95.5,-75.402134
454,1.008,2.208,95.5,-75.38989000000001
455,1.008,2.308,95.5,-75.37643299999999
456,1.008,2.408,95.5,-75.362257
457,1.008,2.508,95.5,-75.347729
458,1.008,2.608,95.5,-75.333119
459,1.008,2.708,95.5,-75.318623
460,1.108,0.808,95.5,-74.251075
461,1.108,0.908,95.5,-74.723972
462,1.108,1.008,95.5,-75.043253
463,1.108,1.108,95.5,-75.259328
464,1.108,1.208,95.5,-75.404996
465,1.108,1.308,95.5,-75.502076
466,1.108,1.408,95.5,-75.56531700000001
467,1.108,1.508,95.5,-75.604821
468,1.108,1.608,95.5,-75.627587
469,1.108,1.708,95.5,-75.638518
470,1.108,1.808,95.5,-75.641088
471,1.108,1.908,95.5,-75.637778
472,1.108,2.008,95.5,-75.630367
473,1.108,2.108,95.5,-75.620137
474,1.108,2.208,95.5,-75.608017
475,1.108,2.308,95.5,-75.59468199999999
476,1.108,2.408,95.5,-75.580629
477,1.108,2.508,95.5,-75.566223
478,1.108,2.608,95.5,-75.551732
479,1.108,2.708,95.5,-75.537352
480,1.208,0.808,95.5,-74.395041
481,1.208,0.908,95.5,-74.868727
482,1.208,1.008,95.5,-75.18855500000001
483,1.208,1.108,95.5,-75.404996
484,1.208,1.208,95.5,-75.550912
485,1.208,1.308,95.5,-75.648169
486,1.208,1.408,95.5,-75.711545
487,1.208,1.508,95.5,-75.75116
488,1.208,1.608,95.5,-75.77402099999999
489,1.208,1.708,95.5,-75.785039
490,1.208,1.808,95.5,-75.787692
491,1.208,1.908,95.5,-75.784461
492,1.208,2.008,95.5,-75.77713100000001
493,1.208,2.108,95.5,-75.766984
494,1.208,2.208,95.5,-75.754952
495,1.208,2.308,95.5,-75.74171
496,1.208,2.408,95.5,-75.727754
497,1.208,2.508,95.5,-75.713447
498,1.208,2.608,95.5,-75.699057
499,1.208,2.708,95.5,-75.684779
500,1.308,0.808,95.5,-74.490765
501,1.308,0.908,95.5,-74.965094
502,1.308,1.008,95.5,-75.28535500000001
503,1.308,1.108,95.5,-75.502076
504,1.308,1.208,95.5,-75.648169
505,1.308,1.308,95.5,-75.74553900000001
506,1.308,1.408,95.5,-75.808992
507,1.308,1.508,95.5,-75.848663
508,1.308,1.608,95.5,-75.871569
509,1.308,1.708,95.5,-75.882626
510,1.308,1.808,95.5,-75.885317
511,1.308,1.908,95.5,-75.882127
512,1.308,2.008,95.5,-75.874841
513,1.308,2.108,95.5,-75.864746
514,1.308,2.208,95.5,-75.852772
515,1.308,2.308,95.5,-75.839597
516,1.308,2.408,95.5,-75.825716
517,1.308,2.508,95.5,-75.811489
518,1.308,2.608,95.5,-75.797184
519,1.308,2.708,95.5,-75.78299200000001
520,1.408,0.808,95.5,-74.552871
521,1.408,0.908,95.5,-75.027744
522,1.408,1.008,95.5,-75.34836899999999
523,1.408,1.108,95.5,-75.56531700000001
524,1.408,1.208,95.5,-75.711545
525,1.408,1.308,95.5,-75.808992
526,1.408,1.408,95.5,-75.87248699999999
527,1.408,1.508,95.5,-75.91218
528,1.408,1.608,95.5,-75.935099
529,1.408,1.708,95.5,-75.94616500000001
530,1.408,1.808,95.5,-75.94886600000001
531,1.408,1.908,95.5,-75.945689
532,1.408,2.008,95.5,-75.938423
533,1.408,2.108,95.5,-75.92835600000001
534,1.408,2.208,95.5,-75.91642
535,1.408,2.308,95.5,-75.90329200000001
536,1.408,2.408,95.5,-75.88946700000001
537,1.408,2.508,95.5,-75.875304
538,1.408,2.608,95.5,-75.861068
539,1.408,2.708,95.5,-75.846949
540,1.508,0.808,95.5,-74.59139300000001
541,1.508,0.908,95.5,-75.066739
542,1.508,1.008,95.5,-75.38767800000001
543,1.508,1.108,95.5,-75.604821
544,1.508,1.208,95.5,-75.75116
545,1.508,1.308,95.5,-75.848663
546,1.508,1.408,95.5,-75.91218
547,1.508,1.508,95.5,-75.951877
548,1.508,1.608,95.5,-75.97479
549,1.508,1.708,95.5,-75.98584699999999
550,1.508,1.808,95.5,-75.988539
551,1.508,1.908,95.5,-75.98535799999999
552,1.508,2.008,95.5,-75.978095
553,1.508,2.108,95.5,-75.968041
554,1.508,2.208,95.5,-75.956127
555,1.508,2.308,95.5,-75.943033
556,1.508,2.408,95.5,-75.92925
557,1.508,2.508,95.5,-75.915139
558,1.508,2.608,95.5,-75.900961
559,1.508,2.708,95.5,-75.886903
560,1.608,0.808,95.5,-74.613293
561,1.608,0.908,95.5,-75.089054
562,1.608,1.008,95.5,-75.41027199999999
563,1.608,1.108,95.5,-75.627587
564,1.608,1.208,95.5,-75.77402099999999
565,1.608,1.308,95.5,-75.871569
566,1.608,1.408,95.5,-75.935099
567,1.608,1.508,95.5,-75.97479
568,1.608,1.608,95.5,-75.997686
569,1.608,1.708,95.5,-76.008724
570,1.608,1.808,95.5,-76.011398
571,1.608,1.908,95.5,-76.00820300000001
572,1.608,2.008,95.5,-76.000934
573,1.608,2.108,95.5,-75.990882
574,1.608,2.208,95.5,-75.97898199999999
575,1.608,2.308,95.5,-75.965911
576,1.608,2.408,95.5,-75.952161
577,1.608,2.508,95.5,-75.938091
578,1.608,2.608,95.5,-75.92396
579,1.608,2.708,95.5,-75.90995500000001
580,1.708,0.808,95.5,-74.623452
581,1.708,0.908,95.5,-75.09958
582,1.708,1.008,95.5,-75.421047
583,1.708,1.108,95.5,-75.638518
584,1.708,1.208,95.5,-75.785039
585,1.708,1.308,95.5,-75.882626
586,1.708,1.408,95.5,-75.94616500000001
587,1.708,1.508,95.5,-75.98584699999999
588,1.708,1.608,95.5,-76.008724
589,1.708,1.708,95.5,-76.019739
590,1.708,1.808,95.5,-76.02239
591,1.708,1.908,95.5,-76.019178
592,1.708,2.008,95.5,-76.01189699999999
593,1.708,2.108,95.5,-76.00184300000001
594,1.708,2.208,95.5,-75.98995
595,1.708,2.308,95.5,-75.976895
596,1.708,2.408,95.5,-75.963171
597,1.708,2.508,95.5,-75.949134
598,1.708,2.608,95.5,-75.93504200000001
599,1.708,2.708,95.5,-75.921081
600,1.808,0.808,95.5,-74.625327
601,1.808,0.908,95.5,-75.101783
602,1.808,1.008,95.5,-75.423474
603,1.808,1.108,95.5,-75.641088
604,1.808,1.208,95.5,-75.787692
605,1.808,1.308,95.5,-75.885317
606,1.808,1.408,95.5,-75.94886600000001
607,1.808,1.508,95.5,-75.988539
608,1.808,1.608,95.5,-76.011398
609,1.808,1.708,95.5,-76.02239
610,1.808,1.808,95.5,-76.025019
611,1.808,1.908,95.5,-76.021788
612,1.808,2.008,95.5,-76.014495
613,1.808,2.108,95.5,-76.004436
614,1.808,2.208,95.5,-75.99254599999999
615,1.808,2.308,95.5,-75.979505
616,1.808,2.408,95.5,-75.965801
617,1.808,2.508,95.5,-75.951791
618,1.808,2.608,95.5,-75.937732
619,1.808,2.708,95.5,-75.923806
